year,county,state,ag_district,yield,type,units
2017,STEELE,NORTH DAKOTA,EAST CENTRAL,35500.0,"wheat, spring, (excl durum) - acres harvested",acres
2018,STEELE,NORTH DAKOTA,EAST CENTRAL,59000.0,"wheat, spring, (excl durum) - acres harvested",acres
2002,TRAILL,NORTH DAKOTA,EAST CENTRAL,124000.0,"wheat, spring, (excl durum) - acres harvested",acres
1997,TRAILL,NORTH DAKOTA,EAST CENTRAL,179000.0,"wheat, spring, (excl durum) - acres harvested",acres
1978,TRAILL,NORTH DAKOTA,EAST CENTRAL,150600.0,"wheat, spring, (excl durum) - acres harvested",acres
1987,TRAILL,NORTH DAKOTA,EAST CENTRAL,133000.0,"wheat, spring, (excl durum) - acres harvested",acres
1974,TRAILL,NORTH DAKOTA,EAST CENTRAL,184800.0,"wheat, spring, (excl durum) - acres harvested",acres
2007,TRAILL,NORTH DAKOTA,EAST CENTRAL,84500.0,"wheat, spring, (excl durum) - acres harvested",acres
1995,TRAILL,NORTH DAKOTA,EAST CENTRAL,174000.0,"wheat, spring, (excl durum) - acres harvested",acres
1996,TRAILL,NORTH DAKOTA,EAST CENTRAL,199000.0,"wheat, spring, (excl durum) - acres harvested",acres
1998,TRAILL,NORTH DAKOTA,EAST CENTRAL,149000.0,"wheat, spring, (excl durum) - acres harvested",acres
1999,TRAILL,NORTH DAKOTA,EAST CENTRAL,146000.0,"wheat, spring, (excl durum) - acres harvested",acres
2001,TRAILL,NORTH DAKOTA,EAST CENTRAL,139000.0,"wheat, spring, (excl durum) - acres harvested",acres
2000,TRAILL,NORTH DAKOTA,EAST CENTRAL,145000.0,"wheat, spring, (excl durum) - acres harvested",acres
1993,TRAILL,NORTH DAKOTA,EAST CENTRAL,186000.0,"wheat, spring, (excl durum) - acres harvested",acres
1992,TRAILL,NORTH DAKOTA,EAST CENTRAL,193500.0,"wheat, spring, (excl durum) - acres harvested",acres
1989,TRAILL,NORTH DAKOTA,EAST CENTRAL,170000.0,"wheat, spring, (excl durum) - acres harvested",acres
2004,TRAILL,NORTH DAKOTA,EAST CENTRAL,98000.0,"wheat, spring, (excl durum) - acres harvested",acres
2003,TRAILL,NORTH DAKOTA,EAST CENTRAL,115000.0,"wheat, spring, (excl durum) - acres harvested",acres
1966,TRAILL,NORTH DAKOTA,EAST CENTRAL,78000.0,"wheat, spring, (excl durum) - acres harvested",acres
1968,TRAILL,NORTH DAKOTA,EAST CENTRAL,95000.0,"wheat, spring, (excl durum) - acres harvested",acres
1969,TRAILL,NORTH DAKOTA,EAST CENTRAL,81000.0,"wheat, spring, (excl durum) - acres harvested",acres
1970,TRAILL,NORTH DAKOTA,EAST CENTRAL,89000.0,"wheat, spring, (excl durum) - acres harvested",acres
1971,TRAILL,NORTH DAKOTA,EAST CENTRAL,160000.0,"wheat, spring, (excl durum) - acres harvested",acres
1972,TRAILL,NORTH DAKOTA,EAST CENTRAL,137000.0,"wheat, spring, (excl durum) - acres harvested",acres
1980,TRAILL,NORTH DAKOTA,EAST CENTRAL,165000.0,"wheat, spring, (excl durum) - acres harvested",acres
1981,TRAILL,NORTH DAKOTA,EAST CENTRAL,154000.0,"wheat, spring, (excl durum) - acres harvested",acres
1983,TRAILL,NORTH DAKOTA,EAST CENTRAL,115000.0,"wheat, spring, (excl durum) - acres harvested",acres
1984,TRAILL,NORTH DAKOTA,EAST CENTRAL,115000.0,"wheat, spring, (excl durum) - acres harvested",acres
1986,TRAILL,NORTH DAKOTA,EAST CENTRAL,140000.0,"wheat, spring, (excl durum) - acres harvested",acres
1985,TRAILL,NORTH DAKOTA,EAST CENTRAL,135000.0,"wheat, spring, (excl durum) - acres harvested",acres
1988,TRAILL,NORTH DAKOTA,EAST CENTRAL,133000.0,"wheat, spring, (excl durum) - acres harvested",acres
1991,TRAILL,NORTH DAKOTA,EAST CENTRAL,150000.0,"wheat, spring, (excl durum) - acres harvested",acres
1994,TRAILL,NORTH DAKOTA,EAST CENTRAL,170000.0,"wheat, spring, (excl durum) - acres harvested",acres
1979,TRAILL,NORTH DAKOTA,EAST CENTRAL,153000.0,"wheat, spring, (excl durum) - acres harvested",acres
1982,TRAILL,NORTH DAKOTA,EAST CENTRAL,151000.0,"wheat, spring, (excl durum) - acres harvested",acres
1990,TRAILL,NORTH DAKOTA,EAST CENTRAL,190000.0,"wheat, spring, (excl durum) - acres harvested",acres
1960,TRAILL,NORTH DAKOTA,EAST CENTRAL,90000.0,"wheat, spring, (excl durum) - acres harvested",acres
1961,TRAILL,NORTH DAKOTA,EAST CENTRAL,91000.0,"wheat, spring, (excl durum) - acres harvested",acres
1962,TRAILL,NORTH DAKOTA,EAST CENTRAL,65000.0,"wheat, spring, (excl durum) - acres harvested",acres
1963,TRAILL,NORTH DAKOTA,EAST CENTRAL,74000.0,"wheat, spring, (excl durum) - acres harvested",acres
1964,TRAILL,NORTH DAKOTA,EAST CENTRAL,75000.0,"wheat, spring, (excl durum) - acres harvested",acres
1965,TRAILL,NORTH DAKOTA,EAST CENTRAL,72000.0,"wheat, spring, (excl durum) - acres harvested",acres
1967,TRAILL,NORTH DAKOTA,EAST CENTRAL,108000.0,"wheat, spring, (excl durum) - acres harvested",acres
1973,TRAILL,NORTH DAKOTA,EAST CENTRAL,154000.0,"wheat, spring, (excl durum) - acres harvested",acres
1975,TRAILL,NORTH DAKOTA,EAST CENTRAL,180900.0,"wheat, spring, (excl durum) - acres harvested",acres
1976,TRAILL,NORTH DAKOTA,EAST CENTRAL,203600.0,"wheat, spring, (excl durum) - acres harvested",acres
1977,TRAILL,NORTH DAKOTA,EAST CENTRAL,155900.0,"wheat, spring, (excl durum) - acres harvested",acres
2009,TRAILL,NORTH DAKOTA,EAST CENTRAL,83000.0,"wheat, spring, (excl durum) - acres harvested",acres
2010,TRAILL,NORTH DAKOTA,EAST CENTRAL,85000.0,"wheat, spring, (excl durum) - acres harvested",acres
2006,TRAILL,NORTH DAKOTA,EAST CENTRAL,92500.0,"wheat, spring, (excl durum) - acres harvested",acres
2005,TRAILL,NORTH DAKOTA,EAST CENTRAL,119000.0,"wheat, spring, (excl durum) - acres harvested",acres
2008,TRAILL,NORTH DAKOTA,EAST CENTRAL,88500.0,"wheat, spring, (excl durum) - acres harvested",acres
2011,TRAILL,NORTH DAKOTA,EAST CENTRAL,84000.0,"wheat, spring, (excl durum) - acres harvested",acres
2012,TRAILL,NORTH DAKOTA,EAST CENTRAL,72600.0,"wheat, spring, (excl durum) - acres harvested",acres
2014,TRAILL,NORTH DAKOTA,EAST CENTRAL,72400.0,"wheat, spring, (excl durum) - acres harvested",acres
2015,TRAILL,NORTH DAKOTA,EAST CENTRAL,90900.0,"wheat, spring, (excl durum) - acres harvested",acres
2016,TRAILL,NORTH DAKOTA,EAST CENTRAL,77400.0,"wheat, spring, (excl durum) - acres harvested",acres
2017,TRAILL,NORTH DAKOTA,EAST CENTRAL,70600.0,"wheat, spring, (excl durum) - acres harvested",acres
2018,TRAILL,NORTH DAKOTA,EAST CENTRAL,98200.0,"wheat, spring, (excl durum) - acres harvested",acres
2002,RANSOM,NORTH DAKOTA,SOUTHEAST,80000.0,"wheat, spring, (excl durum) - acres harvested",acres
1997,RANSOM,NORTH DAKOTA,SOUTHEAST,122000.0,"wheat, spring, (excl durum) - acres harvested",acres
1978,RANSOM,NORTH DAKOTA,SOUTHEAST,86600.0,"wheat, spring, (excl durum) - acres harvested",acres
1987,RANSOM,NORTH DAKOTA,SOUTHEAST,90000.0,"wheat, spring, (excl durum) - acres harvested",acres
1974,RANSOM,NORTH DAKOTA,SOUTHEAST,95900.0,"wheat, spring, (excl durum) - acres harvested",acres
