year,county,state,rangeland_lb_acre,wheat_winter_acres_harvested,wheat_winter_acres_planted,wheat_winter_bu,wheat_winter_bu_acre,wheat_spring_acres_harvested,wheat_spring_acres_planted,wheat_spring_bu,wheat_spring_bu_acre
1989,WILLIAMS,NORTH DAKOTA,1290.8618723269,700.0,1100.0,17000.0,24.3,193900.0,198900.0,2660900.0,13.7
1990,BUTTE,SOUTH DAKOTA,860.93828298488,7500.0,9600.0,165000.0,22.0,8800.0,9300.0,149600.0,17.0
1990,HARDING,SOUTH DAKOTA,880.68685344303,6800.0,12000.0,204000.0,30.0,9500.0,19000.0,142500.0,15.0
1990,MCKENZIE,NORTH DAKOTA,1504.5585745819,9500.0,13000.0,202800.0,21.3,87300.0,104200.0,2359600.0,27.0
1990,SCOTTS BLUFF,NEBRASKA,1075.0463615023,10200.0,11000.0,305200.0,29.9,nan,nan,nan,nan
1990,SIOUX,NEBRASKA,972.76271212423,5900.0,6900.0,211000.0,35.8,nan,nan,nan,nan
1990,WILLIAMS,NORTH DAKOTA,1468.5696972904,8900.0,11000.0,145200.0,16.3,180600.0,188100.0,3838100.0,21.3
1991,BUTTE,SOUTH DAKOTA,1466.7824380607,2700.0,7100.0,62100.0,23.0,8600.0,8700.0,249400.0,29.0
1991,HARDING,SOUTH DAKOTA,1568.6148323723,1500.0,4500.0,37500.0,25.0,9600.0,17500.0,182400.0,19.0
1991,MCKENZIE,NORTH DAKOTA,1717.9424703892,1400.0,1500.0,36600.0,26.1,83100.0,94800.0,2066000.0,24.9
1991,SCOTTS BLUFF,NEBRASKA,1505.8985812458,9800.0,11300.0,313800.0,32.0,nan,nan,nan,nan
1991,SIOUX,NEBRASKA,1571.0689917937,4800.0,6200.0,139200.0,29.0,nan,nan,nan,nan
1991,WILLIAMS,NORTH DAKOTA,2081.7094633433,4700.0,6000.0,104300.0,22.2,160200.0,163100.0,3876300.0,24.2
1992,BUTTE,SOUTH DAKOTA,664.38445779075,4600.0,5500.0,179400.0,39.0,13000.0,14600.0,299000.0,23.0
1992,HARDING,SOUTH DAKOTA,984.03473408769,2800.0,4500.0,95200.0,34.0,16700.0,25900.0,417500.0,25.0
1992,MCKENZIE,NORTH DAKOTA,1286.6836570303,5500.0,6500.0,222000.0,40.4,121600.0,122500.0,4623000.0,38.0
1992,SCOTTS BLUFF,NEBRASKA,811.18587879493,10000.0,11500.0,261000.0,26.1,nan,nan,nan,nan
1992,SIOUX,NEBRASKA,826.2862402629,5200.0,6700.0,148000.0,28.5,nan,nan,nan,nan
1992,WILLIAMS,NORTH DAKOTA,1295.2982730735,18800.0,20000.0,650300.0,34.6,206900.0,206900.0,7553100.0,36.5
