year,county,state,ag_district,yield,type,units
1977,HUGHES,SOUTH DAKOTA,CENTRAL,5600.0,"wheat, winter - acres harvested",acres
1977,HYDE,SOUTH DAKOTA,CENTRAL,1600.0,"wheat, winter - acres harvested",acres
1977,SULLY*,SOUTH DAKOTA,CENTRAL,20400.0,"wheat, winter - acres harvested",acres
1977,POTTER,SOUTH DAKOTA,NORTH CENTRAL,2700.0,"wheat, winter - acres harvested",acres
1977,DEWEY,SOUTH DAKOTA,NORTHWEST,10400.0,"wheat, winter - acres harvested",acres
1977,STANLEY,SOUTH DAKOTA,WEST CENTRAL,38900.0,"wheat, winter - acres harvested",acres
1976,HUGHES,SOUTH DAKOTA,CENTRAL,19900.0,"wheat, winter - acres harvested",acres
1976,HYDE,SOUTH DAKOTA,CENTRAL,7600.0,"wheat, winter - acres harvested",acres
1976,SULLY*,SOUTH DAKOTA,CENTRAL,64700.0,"wheat, winter - acres harvested",acres
1976,POTTER,SOUTH DAKOTA,NORTH CENTRAL,31000.0,"wheat, winter - acres harvested",acres
1976,DEWEY,SOUTH DAKOTA,NORTHWEST,30800.0,"wheat, winter - acres harvested",acres
1976,STANLEY,SOUTH DAKOTA,WEST CENTRAL,56700.0,"wheat, winter - acres harvested",acres
1975,HUGHES,SOUTH DAKOTA,CENTRAL,22000.0,"wheat, winter - acres harvested",acres
1975,HYDE,SOUTH DAKOTA,CENTRAL,2300.0,"wheat, winter - acres harvested",acres
1975,SULLY*,SOUTH DAKOTA,CENTRAL,38500.0,"wheat, winter - acres harvested",acres
1975,POTTER,SOUTH DAKOTA,NORTH CENTRAL,11700.0,"wheat, winter - acres harvested",acres
1975,DEWEY,SOUTH DAKOTA,NORTHWEST,11000.0,"wheat, winter - acres harvested",acres
1975,STANLEY,SOUTH DAKOTA,WEST CENTRAL,49200.0,"wheat, winter - acres harvested",acres
1974,HUGHES,SOUTH DAKOTA,CENTRAL,29000.0,"wheat, winter - acres harvested",acres
1974,HYDE,SOUTH DAKOTA,CENTRAL,4100.0,"wheat, winter - acres harvested",acres
1974,SULLY*,SOUTH DAKOTA,CENTRAL,59200.0,"wheat, winter - acres harvested",acres
1974,POTTER,SOUTH DAKOTA,NORTH CENTRAL,20200.0,"wheat, winter - acres harvested",acres
1974,DEWEY,SOUTH DAKOTA,NORTHWEST,15800.0,"wheat, winter - acres harvested",acres
1974,STANLEY,SOUTH DAKOTA,WEST CENTRAL,69000.0,"wheat, winter - acres harvested",acres
1973,HUGHES,SOUTH DAKOTA,CENTRAL,17000.0,"wheat, winter - acres harvested",acres
1973,HYDE,SOUTH DAKOTA,CENTRAL,3100.0,"wheat, winter - acres harvested",acres
1973,SULLY*,SOUTH DAKOTA,CENTRAL,55800.0,"wheat, winter - acres harvested",acres
1973,POTTER,SOUTH DAKOTA,NORTH CENTRAL,15700.0,"wheat, winter - acres harvested",acres
1973,DEWEY,SOUTH DAKOTA,NORTHWEST,11100.0,"wheat, winter - acres harvested",acres
1973,STANLEY,SOUTH DAKOTA,WEST CENTRAL,42200.0,"wheat, winter - acres harvested",acres
1972,HUGHES,SOUTH DAKOTA,CENTRAL,21700.0,"wheat, winter - acres harvested",acres
1972,HYDE,SOUTH DAKOTA,CENTRAL,4900.0,"wheat, winter - acres harvested",acres
1972,SULLY*,SOUTH DAKOTA,CENTRAL,62600.0,"wheat, winter - acres harvested",acres
1972,POTTER,SOUTH DAKOTA,NORTH CENTRAL,14700.0,"wheat, winter - acres harvested",acres
1972,DEWEY,SOUTH DAKOTA,NORTHWEST,8600.0,"wheat, winter - acres harvested",acres
1972,STANLEY,SOUTH DAKOTA,WEST CENTRAL,46200.0,"wheat, winter - acres harvested",acres
1971,HUGHES,SOUTH DAKOTA,CENTRAL,20900.0,"wheat, winter - acres harvested",acres
1971,HYDE,SOUTH DAKOTA,CENTRAL,3800.0,"wheat, winter - acres harvested",acres
1971,SULLY*,SOUTH DAKOTA,CENTRAL,42400.0,"wheat, winter - acres harvested",acres
1971,POTTER,SOUTH DAKOTA,NORTH CENTRAL,11200.0,"wheat, winter - acres harvested",acres
1971,DEWEY,SOUTH DAKOTA,NORTHWEST,6400.0,"wheat, winter - acres harvested",acres
1971,STANLEY,SOUTH DAKOTA,WEST CENTRAL,27900.0,"wheat, winter - acres harvested",acres
1970,HUGHES,SOUTH DAKOTA,CENTRAL,18900.0,"wheat, winter - acres harvested",acres
1970,HYDE,SOUTH DAKOTA,CENTRAL,4200.0,"wheat, winter - acres harvested",acres
1970,SULLY*,SOUTH DAKOTA,CENTRAL,32400.0,"wheat, winter - acres harvested",acres
1970,POTTER,SOUTH DAKOTA,NORTH CENTRAL,12300.0,"wheat, winter - acres harvested",acres
1970,DEWEY,SOUTH DAKOTA,NORTHWEST,8500.0,"wheat, winter - acres harvested",acres
1970,STANLEY,SOUTH DAKOTA,WEST CENTRAL,27000.0,"wheat, winter - acres harvested",acres
1969,HUGHES,SOUTH DAKOTA,CENTRAL,29100.0,"wheat, winter - acres harvested",acres
1969,HYDE,SOUTH DAKOTA,CENTRAL,5600.0,"wheat, winter - acres harvested",acres
1969,SULLY*,SOUTH DAKOTA,CENTRAL,42200.0,"wheat, winter - acres harvested",acres
1969,POTTER,SOUTH DAKOTA,NORTH CENTRAL,13500.0,"wheat, winter - acres harvested",acres
1969,DEWEY,SOUTH DAKOTA,NORTHWEST,12200.0,"wheat, winter - acres harvested",acres
